timepoint;u_mean;u_median;u_sum;a_mean;a_median;a_sum;m_mean;m_median;m_sum
49;23.3966666666667;23.3966666666667;23.3966666666667;93;93;93;34.6666666666666;34.6666666666666;34.6666666666666
50;17.675;17.675;17.675;71;71;71;26.3333333333333;26.3333333333333;26.3333333333333
51;20.205;20.205;20.205;81;81;81;30;30;30
52;20.205;20.205;20.205;81;81;81;30;30;30
53;21.4583333333333;21.4583333333333;21.4583333333333;86;86;86;31.8333333333333;31.8333333333333;31.8333333333333
54;20.205;20.205;20.205;81;81;81;30;30;30
55;18.6216666666667;18.6216666666667;18.6216666666667;75;75;75;27.8333333333333;27.8333333333333;27.8333333333333
56;17.96;17.96;17.96;72;72;72;26.6666666666667;26.6666666666667;26.6666666666667
57;22.78;22.78;22.78;91;91;91;33.6666666666667;33.6666666666667;33.6666666666667
58;22.2833333333333;22.2833333333333;22.2833333333333;90;90;90;33.25;33.25;33.25
59;22.78;22.78;22.78;91;91;91;33.6666666666667;33.6666666666667;33.6666666666667
60;19.3766666666667;19.3766666666667;19.3766666666667;78;78;78;28.75;28.75;28.75
61;23.2783333333333;23.2783333333333;23.2783333333333;93;93;93;34.5833333333333;34.5833333333333;34.5833333333333
62;24.695;24.695;24.695;99;99;99;36.6666666666667;36.6666666666667;36.6666666666667
63;17.96;17.96;17.96;72;72;72;26.6666666666667;26.6666666666667;26.6666666666667
64;22.45;22.45;22.45;90;90;90;33.3333333333333;33.3333333333333;33.3333333333333
65;17.96;17.96;17.96;72;72;72;26.6666666666667;26.6666666666667;26.6666666666667
66;20.205;20.205;20.205;81;81;81;30;30;30
67;24.8491666666667;24.8491666666667;24.8491666666667;100;100;100;36.9166666666667;36.9166666666667;36.9166666666667
68;22.2958333333333;22.2958333333333;22.2958333333333;89;89;89;33.0833333333333;33.0833333333333;33.0833333333333
69;23.725;23.725;23.725;95;95;95;34.8333333333333;34.8333333333333;34.8333333333333
70;21.9541666666667;21.9541666666667;21.9541666666667;88;88;88;32.75;32.75;32.75
71;24.2458333333333;24.2458333333333;24.2458333333333;97;97;97;36.0833333333333;36.0833333333333;36.0833333333333
72;22.45;22.45;22.45;90;90;90;33.3333333333333;33.3333333333333;33.3333333333333
73;18.245;18.245;18.245;73;73;73;27;27;27
74;24.41;24.41;24.41;98;98;98;36.3333333333333;36.3333333333333;36.3333333333333
75;15.715;15.715;15.715;63;63;63;23.3333333333333;23.3333333333333;23.3333333333333
76;20.49;20.49;20.49;82;82;82;30.3333333333333;30.3333333333333;30.3333333333333
