timepoint;mean;median;utility
223;2498;2465;12490
224;2699;2715;13495
225;2343;2355;11715
226;2597;2545;12985
227;2729;2695;13645
228;2415;2415;12075
229;2707;2680;13535
230;2733;2755;13665
231;2309;2145;11545
232;2934;2885;14670
233;2736;3025;13680
234;2303;2340;11515
235;2594;2670;12970
236;2257;2570;11285
237;3329;2885;16645
238;2722;2830;13610
239;2466;2420;12330
240;2556;2310;12780
241;3070;3155;15350
242;2672;2675;13360
243;2149;2430;10745
244;3259;2910;16295
245;2731;2820;13655
246;2788;2845;13940
247;2665;2550;13325
248;2705;2870;13525
249;2621;2415;13105
250;2575;2425;12875
251;2523;2400;12615
252;2712;2730;13560
253;2696;2515;13480
254;2635;2675;13175
255;2584;2650;12920
256;2510;2385;12550
257;2407.5;2345;9630
258;2353.75;2357.5;9415
259;2470;2460;9880
260;2373.75;2450;9495
261;2147.5;2120;8590
262;2522.5;2512.5;10090
263;2295;2437.5;9180
264;2766.25;2797.5;11065
265;2771.25;2617.5;11085
266;2273.75;2242.5;9095
267;2856.25;2855;11425
268;2375;2357.5;9500
269;2666.25;2702.5;10665
270;2753.75;2732.5;11015
271;2695;2622.5;10780
272;2447.5;2500;9790
273;2498.75;2535;9995
274;2566.25;2550;10265
275;2557.5;2597.5;10230
276;2293.75;2287.5;9175
277;2578.75;2572.5;10315
278;2725;2790;10900
279;2596.25;2635;10385
280;2703.75;2737.5;10815
281;2370;2470;9480
282;2780;2700;11120
283;2756.25;2795;11025
284;2451.25;2390;9805
285;2538.75;2495;10155
286;2647.5;2675;10590
287;2745;2690;10980
288;2706.25;2727.5;10825
289;2613.33333333333;2615;7840
290;2608.33333333333;2350;7825
291;2373.33333333333;2300;7120
292;2811.66666666667;2970;8435
293;2805;2805;5610
294;2745;2745;5490
295;3237.5;3237.5;6475
296;2867.5;2867.5;5735
297;3145;3145;6290
298;3030;3030;6060
299;2920;2920;5840
300;2710;2710;5420
301;2422.5;2422.5;4845
302;2410;2410;4820
303;2540;2540;5080
304;2587.5;2587.5;5175
305;3052.5;3052.5;6105
306;2807.5;2807.5;5615
307;2590;2590;5180
308;2440;2440;4880
309;2892.5;2892.5;5785
310;2925;2925;5850
311;2787.5;2787.5;5575
312;2645;2645;5290
313;2745;2745;5490
314;3047.5;3047.5;6095
315;3000;3000;6000
316;2895;2895;5790
317;2867.5;2867.5;5735
318;2927.5;2927.5;5855
319;2945;2945;5890
320;3035;3035;6070
321;3095;3095;6190
322;2822.5;2822.5;5645
323;3130;3130;6260
324;2727.5;2727.5;5455
325;2852.5;2852.5;5705
326;2957.5;2957.5;5915
327;2942.5;2942.5;5885
328;2810;2810;5620
329;3205;3205;6410
330;2787.5;2787.5;5575
331;2452.5;2452.5;4905
332;2985;2985;5970
333;3155;3155;6310
334;2982.5;2982.5;5965
335;2950;2950;5900
336;2905;2905;5810
337;2707.5;2707.5;5415
338;2400;2400;4800
339;2805;2805;5610
340;3047.5;3047.5;6095
341;2685;2685;5370
342;2887.5;2887.5;5775
343;2510;2510;2510
344;2765;2765;2765
345;2550;2550;2550
346;2315;2315;2315
347;2585;2585;2585
348;0;0;0
