1420171206713;start
1420171207989;v1m5;0.75
1420171207905;v1m5;1.0
1420171208107;v1m5;1.0
1420171207387;v2m13;1.0
1420171207504;v2m13;1.0
1420171207904;v1m12;1.0
1420171207883;v1m12;0.75
1420171207943;v1m12;1.0
1420171207965;v1m12;1.0
1420171207858;v1m12;0.75
1420171207925;v1m12;1.0
1420171207566;v2m14;0.75
1420171207856;v2m14;1.0
1420171207773;v2m14;1.0
1420171207879;v2m14;1.0
1420171207903;v2m14;1.0
1420171207965;v2m14;1.0
1420171207923;v2m14;1.0
1420171207942;v2m14;1.0
1420171207987;v2m14;0.75
1420171207828;v2m14;0.75
1420171207389;v2m14;0.75
1420171207604;v2m14;0.75
1420171207698;v2m14;0.75
1420171207535;v2m14;1.0
1420171207672;v2m14;0.75
1420171207506;v2m14;0.75
1420171207636;v2m14;1.0
1420171207801;v2m14;0.75
1420171207736;v2m14;0.75
1420171207508;v1m13;1.0
1420171207393;v1m13;1.0
1420171207609;v1m7;0.75
1420171207395;v1m7;1.0
1420171207783;v1m7;0.75
1420171207806;v1m7;0.75
1420171207634;v1m7;1.0
1420171207744;v1m7;0.75
1420171207538;v1m7;1.0
1420171207570;v1m7;0.75
1420171207706;v1m7;0.75
1420171207676;v1m7;1.0
1420171207512;v1m7;1.0
1420171209073;finished
