1420171236156;start
1420171238926;v2m15;0.75
1420171237106;v2m15;0.75
1420171238832;v2m15;0.75
1420171237184;v2m15;0.75
1420171236979;v2m15;0.75
1420171236592;v2m15;0.75
1420171239025;v2m15;0.75
1420171236498;v2m15;0.75
1420171237331;v2m15;0.75
1420171237191;v2m15;0.75
1420171235869;v2m15;0.75
1420171236564;v2m15;0.75
1420171237796;v2m15;0.75
1420171237746;v2m15;0.75
1420171238795;v2m15;0.75
1420171238578;v2m15;0.75
1420171238389;v2m15;0.75
1420171239490;v2m15;0.75
1420171238047;v2m15;0.75
1420171236636;v2m15;0.75
1420171239307;v2m15;0.75
1420171239084;v2m15;0.75
1420171239590;v2m15;0.75
1420171236871;v2m15;0.75
1420171237383;v2m15;0.75
1420171238030;v2m15;0.75
1420171237313;v2m15;0.75
1420171236393;v2m15;0.75
1420171237726;v2m15;0.75
1420171236031;v2m15;0.75
1420171238328;v2m15;0.75
1420171239013;v2m15;0.75
1420171236343;v2m15;0.75
1420171237173;v2m15;0.75
1420171238821;v2m15;0.75
1420171238973;v2m15;0.75
1420171237295;v2m15;0.75
1420171236006;v2m15;0.75
1420171236717;v2m15;0.75
1420171236452;v2m15;0.75
1420171236285;v2m15;0.75
1420171236364;v2m15;0.75
1420171236621;v2m15;0.75
1420171236596;v2m15;0.75
1420171237227;v2m15;0.75
1420171238492;v2m15;0.75
1420171236748;v2m15;0.75
1420171239193;v2m15;0.75
1420171238676;v2m15;0.75
1420171236946;v2m15;0.75
1420171239252;v2m15;0.75
1420171236435;v2m15;0.75
1420171236875;v2m15;0.75
1420171237195;v2m15;0.75
1420171238967;v2m15;0.75
1420171238759;v2m15;0.75
1420171237927;v2m15;0.75
1420171237505;v2m15;0.75
1420171237831;v2m15;0.75
1420171238240;v2m15;0.75
1420171237005;v2m15;0.75
1420171236053;v2m15;0.75
1420171236728;v2m15;0.75
1420171237131;v2m15;0.75
1420171237768;v2m15;0.75
1420171237564;v2m15;0.75
1420171237995;v2m15;0.75
1420171238944;v2m15;0.75
1420171238814;v2m15;0.75
1420171239587;v2m15;0.75
1420171238453;v2m15;0.75
1420171237656;v2m15;0.75
1420171238481;v2m15;0.75
1420171238502;v2m15;0.75
1420171238243;v2m15;0.75
1420171236864;v2m15;0.75
1420171239331;v2m15;0.75
1420171238922;v2m15;0.75
1420171239500;v2m15;0.75
1420171239328;v2m15;0.75
1420171239334;v2m15;0.75
1420171237302;v2m15;0.75
1420171236632;v2m15;0.75
1420171237216;v2m15;0.75
1420171239069;v2m15;0.75
1420171236961;v2m15;0.75
1420171237757;v2m15;0.75
1420171237291;v2m15;0.75
1420171237628;v2m15;0.75
1420171238177;v2m15;0.75
1420171237372;v2m15;0.75
1420171236830;v2m15;0.75
1420171237084;v2m15;0.75
1420171239241;v2m15;0.75
1420171238344;v2m15;0.75
1420171238080;v2m15;0.75
1420171237860;v2m15;0.75
1420171237409;v2m15;0.75
1420171238442;v2m15;0.75
1420171237580;v2m15;0.75
1420171237249;v2m15;0.75
1420171237991;v2m15;0.75
1420171239115;v2m15;0.75
1420171239289;v2m15;0.75
1420171238313;v2m15;0.75
1420171236929;v2m15;0.75
1420171235911;v2m15;0.75
1420171238122;v2m15;0.75
1420171236802;v2m15;0.75
1420171237280;v2m15;0.75
1420171237944;v2m15;0.75
1420171239444;v2m15;0.75
1420171237151;v2m15;0.75
1420171237089;v2m15;0.75
1420171237933;v2m15;0.75
1420171238939;v2m15;0.75
1420171236485;v2m15;0.75
1420171237135;v2m15;0.75
1420171236384;v2m15;0.75
1420171238956;v2m15;0.75
1420171238155;v2m15;0.75
1420171238739;v2m15;0.75
1420171238461;v2m15;0.75
1420171236839;v2m15;0.75
