timepoint;u_mean;u_median;u_sum;a_mean;a_median;a_sum;m_mean;m_median;m_sum
61;1383.133;805.765000000001;13831.33;726.8;418;7268;599.931785714283;343.740476190476;5999.31785714283
62;1288.27400000001;871.245000000001;12882.7400000001;675;450.5;6750;559.830674603176;373.767063492064;5598.30674603176
63;1205.16700000001;868.025000000001;12051.6700000001;628.7;444.5;6287;527.858809523811;384.889285714287;5278.58809523811
64;1212.24100000001;848.310000000002;12122.4100000001;632.3;435;6323;530.208452380953;376.722619047619;5302.08452380953
65;1204.52500000001;862.085;12045.2500000001;628.4;442;6284;527.383769841272;383.038492063493;5273.83769841272
66;1205.98400000001;865.405;12059.8400000001;629.4;443.5;6294;528.312063492066;384.585317460318;5283.12063492066
67;1152.74000000001;883.120000000001;11527.4000000001;604;452.5;6040;506.03154761905;391.927380952381;5060.3154761905
68;1140.93200000001;899.595000000001;11409.3200000001;598;461;5980;501.595515873018;399.021031746032;5015.95515873018
69;1057.88222222223;860.440000000002;9520.94000000003;549.555555555556;443;4946;465.164858906527;370.892063492064;4186.48373015874
70;1064.43111111112;843.030000000001;9579.88000000004;553;434;4977;468.183465608467;363.538095238095;4213.6511904762
71;1073.62444444445;835.17;9662.62000000005;557.222222222222;430;5015;471.870326278661;359.86507936508;4246.83293650795
72;1105.1088888889;823.999999999999;9945.98000000006;573.777777777778;424;5164;485.114814814815;355.047619047619;4366.03333333334
73;1092.97111111111;798.629999999999;9836.74000000003;567.888888888889;411;5111;479.932186948855;343.939682539683;4319.3896825397
74;911.654999999999;623.600000000001;7293.23999999999;474.5;321;3796;403.00009920635;273.949801587302;3224.0007936508
75;925.078750000004;618.685000000002;7400.63000000003;481.375;318.5;3851;408.404166666668;271.492857142857;3267.23333333334
76;931.716250000005;632.370000000002;7453.73000000004;484.875;325.5;3879;411.692311507937;277.633531746032;3293.53849206349
77;887.690000000006;638.140000000002;7101.52000000005;461.75;328.5;3694;394.467956349209;280.112896825396;3155.74365079367
78;888.550000000003;647.880000000001;7108.40000000002;462.5;333.5;3700;395.04201388889;284.298412698413;3160.33611111112
79;898.752500000001;618.885;7190.02000000001;467.75;318.5;3742;399.519841269842;272.291865079365;3196.15873015874
80;858.017500000007;631.925000000002;6864.14000000005;446.875;325.5;3575;382.705505952381;277.463095238095;3061.64404761905
81;824.556250000006;618.59;6596.45000000005;429.5;318.5;3436;369.009722222223;272.002579365079;2952.07777777778
82;837.170000000003;630.900000000001;6697.36000000002;436.125;325;3489;374.023115079365;276.704960317461;2992.18492063492
83;842.315;618.635000000001;6738.52;438.625;318.5;3509;376.198313492062;271.662896825397;3009.5865079365
84;809.655000000006;627.630000000002;6477.24000000004;420.5;323;3364;362.175148809524;275.595833333334;2897.40119047619
85;788.801250000003;636.865000000001;6310.41000000002;409.875;328;3279;353.535119047619;279.427976190476;2828.28095238095
86;819.127500000002;615.735000000001;6553.02000000001;426;317;3408;367.267311507937;270.888888888889;2938.1384920635
87;842.627500000002;662.920000000001;6741.02000000001;437.875;343;3503;374.742658730159;283.177777777778;2997.94126984127
88;885.020000000003;973.555000000001;7080.16000000002;459.125;499.5;3673;392.583581349206;431.040873015873;3140.66865079365
89;911.207500000002;969.705000000001;7289.66000000001;472;497.5;3776;400.614831349205;429.614682539682;3204.91865079364
90;896.755000000002;978.825000000003;7174.04000000002;464.5;502;3716;400.009623015872;433.467063492062;3200.07698412698
91;889.055000000004;974.840000000002;7112.44000000003;460.625;500;3685;396.16359126984;431.801984126983;3169.30873015872
92;901.072500000003;1016.415;7208.58000000002;466.875;521.5;3735;402.130902777777;449.807539682539;3217.04722222222
